Entity,Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Saint Lucia,LCA,30,4.185711803,5.294206892,5.381938767,5.498256203,5.583480988,5.451857326,5.426665914,5.617688878,5.542608316,5.345202396,5.319666481,3.228999885,3.116688451,4.851623621,5.467563571
Samoa,WSM,2.10536,5.93516,5.94588,5.00594,4.12531,4.71747,4.45779,5.19432,5.21456,5.36671,4.99849,4.80039,5.10718,5.45139,4.40606,3.69091
Saudi Arabia,SAU,2.7,3.3,3,2.4,2.2,2.3,2.3,2.7,2.8,2.4,2.2,3.63088,1.61342,2.69934,3.45959,4.36355
Sierra Leone,SLE,4.712055818,4.185711803,5.294206892,5.381938767,5.498256203,5.583480988,5.451857326,5.426665914,5.617688878,3.5,4.1,3.7,5.6,3.116688451,4.851623621,5.467563571
Singapore,SGP,4.712055818,4.185711803,5.294206892,5.381938767,5.498256203,5.583480988,5.451857326,2.62761,5.617688878,5.542608316,5.345202396,5.319666481,3.228999885,3.116688451,4.851623621,5.467563571
Slovakia,SVK,4.712055818,4.185711803,5.294206892,5.381938767,5.498256203,2.34921,2.15213,2.62467,2.68462,2.58073,2.74076,2.85776,1.44791,1.40964,2.00356,5.467563571
Slovenia,SVN,4.712055818,4.88225,5.294206892,5.381938767,4.85432,5.583480988,4.88984,4.94071,5.617688878,5.28891,5.345202396,5.39654,3.27481,3.116688451,4.851623621,5.467563571
South Africa,ZAF,3.03854,2.89926,2.92729,2.77565,2.87353,3.2893,3.36423,2.87584,2.93515,2.60656,2.75935,3.69756,2.11257,2.2564,3.54019,5.467563571
South Korea,KOR,4.712055818,4.185711803,5.294206892,5.381938767,5.498256203,5.583480988,5.451857326,5.426665914,5.617688878,5.542608316,5.345202396,2.5,3.228999885,3.116688451,4.851623621,5.467563571
Spain,ESP,4.712055818,4.185711803,5.294206892,5.381938767,5.498256203,5.583480988,5.451857326,5.426665914,6.5,6.6,6.7,6.8,5.0574,5.50139,4.851623621,5.467563571
Sri Lanka,LKA,4.712055818,4.185711803,5.294206892,5.381938767,5.498256203,5.583480988,5.451857326,5.426665914,5.617688878,5.542608316,3.33926,5.319666481,3.228999885,3.116688451,4.851623621,5.467563571
Sweden,SWE,2.65229,2.77614,2.54512,2.61123,2.74303,2.67147,2.62691,2.64972,2.73745,2.60058,2.59829,2.43984,1.69136,1.93008,4.851623621,5.467563571
